"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"23","9.85","+0.4","Kishane THOMPSON","17 JUL 2001","JAM","2","Egret Stadium, Xiamen (CHN)","02 SEP 2023","1259","2023"
"28","9.86","+1.2","Carl LEWIS","01 JUL 1961","USA","1","National Stadium, Tokyo (JPN)","25 AUG 1991","1255","1991"
"28","9.86","-0.4","Frank FREDERICKS","02 OCT 1967","NAM","1f1","Lausanne (SUI)","03 JUL 1996","1257","1996"
"28","9.86","+1.8","Ato BOLDON","30 DEC 1973","TTO","1","Walnut, CA (USA)","19 APR 1998","1255","1998"
"28","9.86","+0.6","Francis OBIKWELU","22 NOV 1978","POR","2","Olympic Stadium, Athina (GRE)","22 AUG 2004","1255","2004"
"28","9.86","+1.4","Keston BLEDMAN","08 MAR 1988","TTO","1f2","Port-of-Spain (TTO)","23 JUN 2012","1255","2012"
"28","9.86","+1.3","Jimmy VICAUT","27 FEB 1992","FRA","2","Stade de France, Paris-St-Denis (FRA)","04 JUL 2015","1255","2015"
"28","9.86","+0.8","Divine ODUDURU","07 OCT 1996","NGR","1","Austin, TX (USA)","07 JUN 2019","1255","2019"
"28","9.86","+1.6","Michael NORMAN","03 DEC 1997","USA","1f3","AP Ranch, Fort Worth, TX (USA)","20 JUL 2020","1255","2020"
"28","9.86","+0.7","Micah WILLIAMS","12 NOV 2001","USA","1h2","John McDonnell Field, Fayetteville, AR (USA)","27 MAY 2022","1255","2022"
"37","9.87","+0.3","Linford CHRISTIE","02 APR 1960","GBR","1","Gottlieb-Daimler Stadion, Stuttgart (GER)","15 AUG 1993","1252","1993"
"37","9.87","-0.2","Obadele THOMPSON","30 MAR 1976","BAR","1","SGJ, Johannesburg (RSA)","11 SEP 1998","1253","1998"
"39","9.88","+1.8","Shawn CRAWFORD","14 JAN 1978","USA","1","Eugene, OR (USA)","19 JUN 2004","1248","2004"
"39","9.88","+1.0","Walter DIX","31 JAN 1986","USA","2f2","Luzern (SUI)","08 AUG 2010","1248","2010"
"39","9.88","+0.9","Ryan BAILEY","13 APR 1989","USA","2","Stadio Guidobaldi, Rieti (ITA)","29 AUG 2010","1248","2010"
"39","9.88","+1.0","Michael FRATER","06 OCT 1982","JAM","2","Stade Olympique de la Pontaise, Lausanne (SUI)","30 JUN 2011","1248","2011"
"39","9.88","0.0","Letsile TEBOGO","07 JUN 2003","BOT","2","Nemzeti Atlétikai Központ, Budapest (HUN)","20 AUG 2023","1248","2023"
"44","9.89","+1.6","Travis PADGETT","13 DEC 1986","USA","1qf2","Eugene, OR (USA)","28 JUN 2008","1245","2008"
"44","9.89","+1.6","Darvis PATTON","04 DEC 1977","USA","1qf3","Eugene, OR (USA)","28 JUN 2008","1245","2008"
"44","9.89","+1.3","Ngonidzashe MAKUSHA","11 MAR 1987","ZIM","1","Des Moines, IA (USA)","10 JUN 2011","1245","2011"
"44","9.89","+0.2","Isiah YOUNG","05 JAN 1990","USA","1f1","National Training Center, Clermont, FL (USA)","30 MAY 2021","1245","2021"
"44","9.89","+0.8","Kenneth BEDNAREK","14 OCT 1998","USA","4","Hayward Field, Eugene, OR (USA)","20 JUN 2021","1245","2021"
"44","9.89","+0.1","Andre DE GRASSE","10 NOV 1994","CAN","3","National Stadium, Tokyo (JPN)","01 AUG 2021","1245","2021"
"44","9.89","+1.0","Ackeem BLAKE","21 JAN 2002","JAM","1","Drake Stadium, Los Angeles, CA (USA)","27 MAY 2023","1245","2023"
"44","9.89","+1.3","Pjai AUSTIN","19 SEP 2000","USA","1sf1","Mike A. Myers Stadium, Austin, TX (USA)","07 JUN 2023","1245","2023"
"44","9.89","+1.8","Courtney LINDSEY","18 NOV 1998","USA","1","Mike A. Myers Stadium, Austin, TX (USA)","09 JUN 2023","1245","2023"
"44","9.89","+0.8","Issamade ASINGA","29 DEC 2004","SUR","1","COTP Stadium, São Paulo (BRA)","28 JUL 2023","1245","2023"
"54","9.90","+0.4","Nickel ASHMEADE","07 APR 1990","JAM","1sf2","Luzhniki Stadion, Moskva (RUS)","11 AUG 2013","1241","2013"
"54","9.90","+2.0","Benjamin AZAMATI","14 JAN 1998","GHA","1h1","Mike A. Myers Stadium, Austin, TX (USA)","25 MAR 2022","1241","2022"
"54","9.90","+1.8","Elijah HALL","22 AUG 1994","USA","5","Hayward Field, Eugene, OR (USA)","24 JUN 2022","1241","2022"
"54","9.90","+1.8","Godson Oke OGHENEBRUME","27 MAY 2003","NGR","2","Mike A. Myers Stadium, Austin, TX (USA)","09 JUN 2023","1241","2023"
"54","9.90","+0.9","Cravont CHARLESTON","02 JAN 1998","USA","1","Kuortaneen keskusurheilukenttä, Kuortane (FIN)","17 JUN 2023","1241","2023"
"54","9.90","0.0","Shainer REGINFO MONTOYA","08 APR 2002","CUB","1f1","Helmántico, Salamanca (ESP)","01 JUN 2024","1241","2024"
"60","9.91","+1.2","Dennis MITCHELL","20 FEB 1966","USA","3","National Stadium, Tokyo (JPN)","25 AUG 1991","1238","1991"
"60","9.91","+0.9","Leonard SCOTT","19 JAN 1980","USA","2","Gottlieb-Daimler Stadion, Stuttgart (GER)","09 SEP 2006","1238","2006"
"60","9.91","-0.5","Derrick ATKINS","05 JAN 1984","BAH","2","Yanmar Stadium Nagai, Osaka (JPN)","26 AUG 2007","1241","2007"
"60","9.91","-0.2","Daniel BAILEY","09 SEP 1986","ANT","2","Stade de France, Paris-St-Denis (FRA)","17 JUL 2009","1239","2009"
"60","9.91","+0.7","Churandy MARTINA","03 JUL 1984","NED","2sf1","Olympic Stadium, London (GBR)","05 AUG 2012","1238","2012"
"60","9.91","+1.1","James DASAOLU","05 SEP 1987","GBR","1sf2","Birmingham (GBR)","13 JUL 2013","1238","2013"
"60","9.91","+1.8","Femi OGUNODE","15 MAY 1991","QAT","1","Wuhan (CHN)","04 JUN 2015","1238","2015"
"60","9.91","+1.0","Julian FORTE","07 JAN 1993","JAM","1","Olympiastadion, Berlin (GER)","27 AUG 2017","1238","2017"
"60","9.91","+1.0","Terrence JONES","08 NOV 2002","BAH","1f1","Percy Beard Track, Gainesville, FL (USA)","15 APR 2023","1238","2023"
"60","9.91","+1.8","Shaun MASWANGANYI","01 FEB 2001","RSA","3","Mike A. Myers Stadium, Austin, TX (USA)","09 JUN 2023","1238","2023"
"60","9.91","+1.1","Rohan WATSON","29 APR 2002","JAM","1","National Stadium, Kingston (JAM)","07 JUL 2023","1238","2023"
"71","9.92","+0.3","Andre CASON","20 JAN 1969","USA","2","Gottlieb-Daimler Stadion, Stuttgart (GER)","15 AUG 1993","1234","1993"
"71","9.92","+0.8","Jon DRUMMOND","09 SEP 1968","USA","h","Indianapolis, IN (USA)","12 JUN 1997","1234","1997"
"71","9.92","+0.2","Tim MONTGOMERY","28 JAN 1975","USA","2","Indianapolis, IN (USA)","13 JUN 1997","1234","1997"
"71","9.92","-0.2","Seun OGUNKOYA","28 DEC 1977","NGR","2","SGJ, Johannesburg (RSA)","11 SEP 1998","1235","1998"
"71","9.92","+1.0","Tim HARDEN","27 JAN 1974","USA","1","Luzern (SUI)","05 JUL 1999","1234","1999"
"71","9.92","+2.0","Christophe LEMAITRE","11 JUN 1990","FRA","1","Albi (FRA)","29 JUL 2011","1234","2011"
"71","9.92","-0.8","Kemar BAILEY-COLE","10 JAN 1992","JAM","3","Olympic Stadium, London (GBR)","24 JUL 2015","1238","2015"
"71","9.92","+0.9","Jak Ali HARVEY","04 MAY 1989","TUR","1f2","Erzurum (TUR)","12 JUN 2016","1234","2016"
"71","9.92","+1.4","Udodi Chudi ONWUZURIKE","29 JAN 2003","NGR","1h2","Hornet Stadium - Sac St., Sacramento, CA (USA)","26 MAY 2023","1234","2023"
"80","9.93","+1.4","Calvin SMITH","08 JAN 1961","USA","1","Air Force Academy (USA)","03 JUL 1983","1231","1983"
"80","9.93","-0.6","Michael MARSH","04 AUG 1967","USA","1f1","Walnut, CA (USA)","18 APR 1992","1234","1992"
"80","9.93","+1.8","Patrick JOHNSON","26 SEP 1972","AUS","1","Mito (JPN)","05 MAY 2003","1231","2003"
"80","9.93","+1.1","Ivory WILLIAMS","02 MAY 1985","USA","1f2","Rethymno (GRE)","20 JUL 2009","1231","2009"
"80","9.93","+1.8","Kemarley BROWN","20 JUL 1992","JAM","1","Walnut, CA (USA)","17 MAY 2014","1231","2014"
"80","9.93","+1.7","Clayton VAUGHN","15 MAY 1992","USA","1","Mobile, AL (USA)","08 MAY 2015","1231","2015"
"80","9.93","+1.9","Kim COLLINS","05 APR 1976","SKN","1f2","Bottrop (GER)","29 MAY 2016","1231","2016"
"80","9.93","+0.8","Cameron BURRELL","11 SEP 1994","USA","1sf2","Eugene, OR (USA)","07 JUN 2017","1231","2017"
"80","9.93","+1.6","Christopher BELCHER","29 JAN 1994","USA","1sf3","Eugene, OR (USA)","07 JUN 2017","1231","2017"
"80","9.93","+0.8","Cravon GILLESPIE","31 JUL 1996","USA","2","Austin, TX (USA)","07 JUN 2019","1231","2019"
"80","9.93","+1.9","Arthur CISSÉ","29 DEC 1996","CIV","1","Leverkusen (GER)","24 JUL 2019","1231","2019"
"80","9.93","-1.2","Reece PRESCOD","29 FEB 1996","GBR","1f1","Mestský Stadion, Ostrava (CZE)","31 MAY 2022","1238","2022"
"80","9.93","+0.1","Eugene AMO-DADZIE","22 JUN 1992","GBR","1f","Stadion Eggenberg, Graz (AUT)","16 JUN 2023","1231","2023"
"80","9.93","+1.6","Christian MILLER","16 MAY 2006","USA","1f1","National Training Center, Clermont, FL (USA)","20 APR 2024","1231","2024"
"80","9.93","+2.0","Kendal WILLIAMS","23 SEP 1995","USA","1f1","National Training Center, Clermont, FL (USA)","11 MAY 2024","1231","2024"
"95","9.94","+0.2","Davidson EZINWA","22 NOV 1971","NGR","1","Linz (AUT)","04 JUL 1994","1227","1994"
"96","9.7h","+1.9","Donovan POWELL","31 OCT 1971","JAM","1f1","Houston, TX (USA)","19 MAY 1995","1227","1995"
"96","9.7h","+1.9","Olapade ADENIKEN","19 AUG 1969","NGR","3f1","Houston, TX (USA)","19 MAY 1995","1227","1995"
"97","9.94","-0.2","Bernard WILLIAMS","19 JAN 1978","USA","2","Commonwealth Stadium, Edmonton (CAN)","05 AUG 2001","1228","2001"
"97","9.7h","","Souhalia ALAMOU","31 DEC 1979","BEN","1","Cotonou (BEN)","16 MAY 2004","1227","2004"
"97","9.7h","0.0","Michael HERRERA","05 JUN 1985","CUB","1","La Habana (CUB)","19 MAR 2010","1227","2010"
"99","9.94","+1.7","Diondre BATSON","13 JUL 1992","USA","2h2","Hayward Field, Eugene, OR (USA)","25 JUN 2015","1227","2015"
"99","9.94","+1.4","Andrew FISHER","15 DEC 1991","JAM","2","Moratalaz, Madrid (ESP)","11 JUL 2015","1227","2015"
"99","9.94","+1.0","Ameer WEBB","19 MAR 1991","USA","2f1","Stadio Olimpico, Roma (ITA)","02 JUN 2016","1227","2016"
"99","9.94","+0.9","Wayde VAN NIEKERK","15 JUL 1992","RSA","1f3","Velenje (SLO)","20 JUN 2017","1227","2017"
"99","9.94","+1.6","Jo'Vaughn MARTIN","","USA","1f2","Percy Beard Track, Gainesville, FL (USA)","17 APR 2021","1227","2021"
"99","9.94","+1.3","Gift LEOTLELA","12 MAY 1998","RSA","1","UJ Stadium, Johannesburg (RSA)","14 MAY 2021","1227","2021"
"99","9.94","+0.8","Joseph Paul AMOAH","12 JAN 1997","GHA","1","Hughes Stadium, Morgan St. Univ., Baltimore, MD (USA)","23 APR 2022","1227","2022"
"99","9.94","+0.7","Kadrian GOLDSON","08 NOV 1997","JAM","1h3","National Stadium, Kingston (JAM)","06 JUL 2023","1227","2023"
"99","9.94","+1.7","Brandon HICKLIN","02 APR 1999","USA","1f1","LSU Bernie Moore Stadium, Baton Rouge, LA (USA)","27 APR 2024","1227","2024"
"99","9.94","+1.4","Favour Oghene Tejiri ASHE","28 APR 2002","NGR","1sf2","Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)","24 MAY 2024","1227","2024"
"111","9.95","+0.3","Jim HINES","10 SEP 1946","USA","1","Estadio Olímpico, Ciudad de México (MEX)","14 OCT 1968","1224","1968"
"111","9.95","+0.8","Ben JOHNSON","30 DEC 1961","CAN","1f1","Moskva (URS)","09 JUL 1986","1224","1986"
"111","9.95","+0.8","Vincent HENDERSON","20 OCT 1972","USA","1","Leverkusen (GER)","09 AUG 1998","1224","1998"
"111","9.95","+1.8","Joshua J. JOHNSON","10 MAY 1976","USA","1","Walnut, CA (USA)","21 APR 2002","1224","2002"
"111","9.95","+0.6","Deji ALIU","22 NOV 1975","NGR","1","Abuja (NGR)","12 OCT 2003","1224","2003"
"111","9.95","+1.8","John CAPEL","27 OCT 1978","USA","3","Eugene, OR (USA)","19 JUN 2004","1224","2004"
"111","9.95","+1.6","Rodney MARTIN","22 DEC 1982","USA","2qf2","Eugene, OR (USA)","28 JUN 2008","1224","2008"
"111","9.95","-0.8","Trell KIMMONS","13 JUL 1985","USA","1f2","Letzigrund, Zürich (SUI)","19 AUG 2010","1228","2010"
"111","9.95","+0.9","Mario FORSYTHE","30 OCT 1985","JAM","3","Stadio Guidobaldi, Rieti (ITA)","29 AUG 2010","1224","2010"
"111","9.95","+1.8","Kemar HYMAN","11 OCT 1989","CAY","1h2","Moratalaz, Madrid (ESP)","07 JUL 2012","1224","2012"
"111","9.95","+1.2","Thando ROTO","26 SEP 1995","RSA","2","Pretoria (RSA)","18 MAR 2017","1224","2017"
"111","9.95","+2.0","Ryota YAMAGATA","10 JUN 1992","JPN","1f1","Athletic Stadium, Tottori (JPN)","06 JUN 2021","1224","2021"
"111","9.95","0.0","Ryiem FORDE","23 MAY 2001","JAM","3sf2","Nemzeti Atlétikai Központ, Budapest (HUN)","20 AUG 2023","1224","2023"
"111","9.95","+0.2","Louie HINCHLIFFE","18 JUL 2002","GBR","1","Hayward Field, Eugene, OR (USA)","07 JUN 2024","1224","2024"
"125","9.96","+0.1","Mel LATTANY","10 AUG 1959","USA","1","Athens, GA (USA)","05 MAY 1984","1220","1984"
"125","9.96","+1.2","Raymond STEWART","18 MAR 1965","JAM","6","National Stadium, Tokyo (JPN)","25 AUG 1991","1220","1991"
"125","9.96","+0.8","Kareem STREETE-THOMPSON","30 MAR 1973","USA","h","Indianapolis, IN (USA)","12 JUN 1997","1220","1997"
"125","9.96","+1.0","Marc BURNS","07 JAN 1983","TTO","1","Port-of-Spain (TTO)","25 JUN 2005","1220","2005"
"125","9.96","0.0","Wallace SPEARMON","24 DEC 1984","USA","1","Shanghai (CHN)","28 SEP 2007","1220","2007"
"125","9.96","+1.4","Harry ADAMS","27 NOV 1989","USA","1h2","Des Moines, IA (USA)","06 JUN 2012","1220","2012"
"125","9.96","-0.4","Dentarius LOCKE","12 DEC 1989","USA","2","Stade Louis II, Monaco (MON)","19 JUL 2013","1222","2013"
"125","9.96","+1.4","Chijindu UJAH","05 MAR 1994","GBR","2","FBK Stadium, Hengelo (NED)","08 JUN 2014","1220","2014"
"125","9.96","+1.3","Quentin BUTLER","18 SEP 1992","USA","2h4","Hayward Field, Eugene, OR (USA)","25 JUN 2015","1220","2015"
"125","9.96","+1.6","Senoj-Jay GIVANS","30 DEC 1993","JAM","1sf3","Eugene, OR (USA)","08 JUN 2016","1220","2016"
"125","9.96","+2.0","Aaron BROWN","27 MAY 1992","CAN","1h1","Montverde, FL (USA)","11 JUN 2016","1220","2016"
"125","9.96","+2.0","Joel FEARON","11 OCT 1988","GBR","1","Bedford (GBR)","30 JUL 2016","1220","2016"
"125","9.96","+0.2","Ben Youssef MEITÉ","11 NOV 1986","CIV","6","Estádio Olímpico, Rio de Janeiro (BRA)","14 AUG 2016","1220","2016"
"125","9.96","+0.2","Tyquendo TRACEY","10 JUN 1993","JAM","4h2","Olympic Stadium, London (GBR)","21 JUL 2018","1220","2018"
"125","9.96","+1.6","Raymond EKEVWO","23 MAR 1999","NGR","1","Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)","27 AUG 2019","1220","2019"
"125","9.96","+1.8","Kyree KING","09 JUL 1994","USA","6","Hayward Field, Eugene, OR (USA)","24 JUN 2022","1220","2022"
"125","9.96","+1.6","Yupun ABEYKOON","31 DEC 1994","SRI","1f1","Stade de La Charrière, La Chaux-de-Fonds (SUI)","03 JUL 2022","1220","2022"
"125","9.96","-0.1","Emmanuel ESEME","17 AUG 1993","CMR","1f1","Stade de La Charrière, La Chaux-de-Fonds (SUI)","02 JUL 2023","1220","2023"
"125","9.96","+1.0","Felipe BARDI","08 OCT 1998","BRA","1","Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)","09 SEP 2023","1220","2023"
"125","9.96","0.0","Reynaldo R. ESPINOSA","01 FEB 2003","CUB","2f1","Helmántico, Salamanca (ESP)","01 JUN 2024","1220","2024"
"145","9.97","+0.2","Dwain CHAMBERS","05 APR 1978","GBR","3","La Cartuja, Sevilla (ESP)","22 AUG 1999","1217","1999"
"145","9.97","+0.6","Uchenna EMEDOLU","17 SEP 1976","NGR","2","Abuja (NGR)","12 OCT 2003","1217","2003"
"145","9.97","+1.3","Rakieem SALAAM","05 APR 1990","USA","2","Des Moines, IA (USA)","10 JUN 2011","1217","2011"
"145","9.97","+2.0","Adam GEMILI","06 OCT 1993","GBR","2","Alexander Stadium, Birmingham (GBR)","07 JUN 2015","1217","2015"
"145","9.97","+0.8","Henricho BRUINTJIES","16 JUL 1993","RSA","1h1","La Chaux-de-Fonds (SUI)","05 JUL 2015","1217","2015"
"145","9.97","+1.5","Ramil GULIYEV","29 MAY 1990","TUR","1","Bursa (TUR)","06 JUL 2017","1217","2017"
"145","9.97","+0.9","Jaylen BACON","05 AUG 1996","USA","1qf3","Sacramento, CA (USA)","25 MAY 2018","1217","2018"
"145","9.97","+0.9","Zhenye XIE","17 AUG 1993","CHN","1f1","Montreuil (FRA)","19 JUN 2018","1217","2018"
"145","9.97","+1.7","Barakat AL HARTHI","15 JUN 1988","OMA","1","Amman (JOR)","09 JUL 2018","1217","2018"
"145","9.97","+0.8","Abdul Hakim SANI BROWN","06 MAR 1999","JPN","3","Austin, TX (USA)","07 JUN 2019","1217","2019"
"145","9.97","+1.3","Cole BECK","05 MAR 1999","USA","2sf1","Mike A. Myers Stadium, Austin, TX (USA)","07 JUN 2023","1217","2023"
"145","9.97","+1.8","Da'marcus FLEMING","21 DEC 2001","USA","4","Mike A. Myers Stadium, Austin, TX (USA)","09 JUN 2023","1217","2023"
"145","9.97","+0.8","Erik CARDOSO","03 MAR 2000","BRA","2","COTP Stadium, São Paulo (BRA)","28 JUL 2023","1217","2023"
"145","9.97","-0.1","Emmanuel MATADI","15 APR 1991","LBR","2h1","Rhodes College, Memphis, TN (USA)","04 AUG 2023","1217","2023"
"145","9.97","+1.4","Jeremiah AZU","15 MAY 2001","GBR","1f1","Stadion Manfort, Leverkusen (GER)","25 MAY 2024","1217","2024"
"160","9.98","+0.6","Silvio LEONARD","20 SEP 1955","CUB","1","Guadalajara (MEX)","11 AUG 1977","1213","1977"
"160","9.98","+0.3","Daniel EFFIONG","17 JUN 1972","NGR","2sf1","Gottlieb-Daimler Stadion, Stuttgart (GER)","15 AUG 1993","1213","1993"
"160","9.98","+1.4","Percival SPENCER","24 FEB 1975","JAM","1","Kingston (JAM)","19 JUN 1997","1213","1997"
"160","9.98","+1.6","Leonard MYLES-MILLS","05 SEP 1973","GHA","1","Boise, ID (USA)","05 JUN 1999","1213","1999"
"160","9.98","+0.4","Jason GARDENER","17 SEP 1975","GBR","3","Stade Olympique de la Pontaise, Lausanne (SUI)","02 JUL 1999","1213","1999"
"160","9.98","+0.4","Coby MILLER","19 OCT 1976","USA","sf","Durham, NC (USA)","02 JUN 2000","1213","2000"
"160","9.98","+1.9","Gabriel MVUMVURE","23 FEB 1988","ZIM","1f1","Montverde, FL (USA)","08 JUN 2013","1213","2013"
"160","9.98","+1.1","Charles SILMON","04 JUL 1991","USA","2","Drake Stadium, Des Moines, IA (USA)","21 JUN 2013","1213","2013"
"160","9.98","+1.4","Simon MAGAKWE","14 MAY 1986","RSA","1","Pretoria (RSA)","12 APR 2014","1213","2014"
"160","9.98","+2.0","Odean SKEEN","28 AUG 1994","JAM","1h4","Auburn, AL (USA)","22 APR 2017","1213","2017"
"160","9.98","+1.8","Yoshihide KIRYU","15 DEC 1995","JPN","1","Fukui (JPN)","09 SEP 2017","1213","2017"
"160","9.98","+1.9","Andre EWERS","07 JUN 1995","JAM","1qf3","Tampa, FL (USA)","25 MAY 2018","1213","2018"
"160","9.98","+1.0","Roberto SKYERS","12 NOV 1991","CUB","1f1","Camagüey (CUB)","22 FEB 2019","1213","2019"
"160","9.98","+1.3","Mario BURKE","18 MAR 1997","BAR","1sf2","Austin, TX (USA)","05 JUN 2019","1213","2019"
"160","9.98","+0.5","Yuki KOIKE","13 MAY 1995","JPN","4","Olympic Stadium, London (GBR)","20 JUL 2019","1213","2019"
"160","9.98","+0.3","Enoch ADEGOKE","08 MAR 2000","NGR","1h2","National Stadium, Tokyo (JPN)","31 JUL 2021","1213","2021"
"160","9.98","+1.6","Matthew BOLING","20 JUN 2000","USA","1f1","Percy Beard Track, Gainesville, FL (USA)","16 APR 2022","1213","2022"
"160","9.98","+1.6","Joseph FAHNBULLEH","11 SEP 2001","LBR","2f1","Percy Beard Track, Gainesville, FL (USA)","15 APR 2023","1213","2023"
"178","9.99","+0.5","Brian LEWIS","05 DEC 1974","USA","1","Cayenne (GUY)","04 MAY 2002","1210","2002"
"178","9.99","+1.5","Mickey GRIMES","10 OCT 1976","USA","1f2","Zürich (SUI)","15 AUG 2003","1210","2003"
"178","9.99","+1.6","Aziz ZAKARI","02 SEP 1976","GHA","2","Olympic Stadium, Athina (GRE)","14 JUN 2005","1210","2005"
"178","9.99","+1.0","Darrel BROWN","11 OCT 1984","TTO","2","Port-of-Spain (TTO)","25 JUN 2005","1210","2005"
"178","9.99","+1.8","Ronald POGNON","16 NOV 1982","FRA","1f1","Stade Olympique de la Pontaise, Lausanne (SUI)","05 JUL 2005","1210","2005"
"178","9.99","+1.0","Marcus BRUNSON","24 APR 1978","USA","4f1","Zürich (SUI)","18 AUG 2006","1210","2006"
"178","9.99","+0.9","Samuel FRANCIS","27 MAR 1987","QAT","1","Amman (JOR)","26 JUL 2007","1210","2007"
"178","9.99","+1.6","Mark JELKS","10 APR 1984","USA","3qf2","Eugene, OR (USA)","28 JUN 2008","1210","2008"
"178","9.99","+0.4","Lerone CLARKE","07 JUL 1981","JAM","1f2","Letzigrund, Zürich (SUI)","28 AUG 2009","1210","2009"
"178","9.99","+1.0","Jaysuma SAIDY NDURE","01 JAN 1984","NOR","5","Stade Olympique de la Pontaise, Lausanne (SUI)","30 JUN 2011","1210","2011"
"178","9.99","+1.6","Bryce ROBINSON","13 NOV 1993","USA","1","Storrs, CT (USA)","16 MAY 2015","1210","2015"
"178","9.99","+1.7","Beejay LEE","05 MAR 1993","USA","3h2","Hayward Field, Eugene, OR (USA)","25 JUN 2015","1210","2015"
"178","9.99","+2.0","Omar MCLEOD","25 APR 1994","JAM","1f3","Fayetteville, AR (USA)","23 APR 2016","1210","2016"
"178","9.99","+1.7","Rondel SORRILLO","24 JAN 1986","TTO","2f2","Port-of-Spain (TTO)","25 JUN 2016","1210","2016"
"178","9.99","+0.6","Nethaneel MITCHELL-BLAKE","02 APR 1994","GBR","2","Columbia, SC (USA)","13 MAY 2017","1210","2017"
"178","9.99","+0.2","Filippo TORTU","15 JUN 1998","ITA","2","Moratalaz, Madrid (ESP)","22 JUN 2018","1210","2018"
"178","9.99","+0.3","Davonte BURNETT","27 FEB 2000","JAM","1","Hilmer Lodge Stadium, Walnut, CA (USA)","16 APR 2022","1210","2022"
"178","9.99","+1.6","Reynier MENA","21 NOV 1996","CUB","2f1","Stade de La Charrière, La Chaux-de-Fonds (SUI)","03 JUL 2022","1210","2022"
